rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
10,2005,58,0,39,0,48,0,4,0,1,0,1,5,149,['US'],"Documentary,Family,History"
4,1934,16,0,4,0,18,2,7,0,0,0,1,12,270,['US'],"Comedy,Music,Short"
6,1998,95,1,10,0,191,11,3,0,0,0,10,15,413,['US'],"Comedy,Crime,Drama"
8,1951,103,0,2,0,10,0,3,0,0,0,2,0,21,['EG'],Drama
9,2009,58,0,1,0,24,0,7,0,0,0,1,0,5,['US'],"Comedy,Short"
8,1975,58,0,0,0,46,1,1,0,0,0,1,0,103,['US'],Comedy
7,1994,72,0,0,0,44,0,3,0,0,0,1,0,8,['FI'],Drama
8,2009,45,0,4,0,146,1,1,0,0,0,1,4,3203,['US'],"Action,Crime,Drama"
6,2018,103,0,50,51,649,118,3,0,0,0,41,250,22725,"['GB', 'US']","Action,Adventure,Crime"
9,1971,25,0,27,0,30,0,1,0,0,0,1,2,111,['US'],"Crime,Drama"
8,2021,49,0,5,0,236,2,1,0,0,0,1,24,2455,['US'],"Drama,Western"
6,1974,18,0,9,0,6,0,7,0,0,0,1,0,11,['SUHH'],"Animation,Short"
5,2018,78,0,16,0,37,0,3,0,0,0,4,0,13,"['CN', 'TW']","Action,Comedy,Fantasy"
7,2007,22,0,2,0,93,0,1,0,0,0,1,0,157,['US'],"Comedy,Family"
5,2014,28,0,5,1,48,0,8,0,0,0,5,2,46,['GB'],"Animation,Family"
6,1919,14,0,1,0,6,0,7,0,0,0,5,0,24,['RU'],"Documentary,Short"
7,1987,58,0,0,0,39,0,1,0,0,0,7,1,14,['GB'],Comedy
9,2007,69,0,1,0,167,0,1,0,0,0,1,0,70,['ES'],"Drama,Mystery,Thriller"
8,1995,90,0,8,0,55,0,1,0,0,0,1,1,34,['GB'],Drama
9,2023,39,0,1,0,54,0,4,0,1,0,1,0,9,['NO'],"Documentary,Music"
8,2023,58,3,4,0,11,2,7,1,0,0,1,1,81,['GB'],"Animation,Short"
7,2020,50,0,52,1,154,5,4,1,1,0,17,19,226,['CO'],"Drama,History"
